Subperiod,Start Date,End Date,Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Calmar Ratio,Final Net Value
Pre-COVID Period,2011-02-01,2020-02-18,Equal Weight,0.06474806737880678,0.0778667176058791,0.8447549016827576,-0.1233996092073878,0.5247023697618841,1.7623279287979072
Pre-COVID Period,2011-02-01,2020-02-18,Minimum Variance,0.03854686156809661,0.030899045521348523,1.2396032702518314,-0.05294004060008761,0.7281230072957825,1.4072016715339577
Pre-COVID Period,2011-02-01,2020-02-18,Traditional MVO,0.06740436557238416,0.10974883597405265,0.6494465105216655,-0.19577212183816883,0.3443001227115608,1.802437044992054
Pre-COVID Period,2011-02-01,2020-02-18,Proposed Strategy,0.08590926692819179,0.09465519799903156,0.918271943706487,-0.15168027280750607,0.5663839162342308,2.105126298515071
COVID Crash and Recovery,2020-02-19,2020-07-29,Equal Weight,0.044730288895554526,0.24423716849051172,0.3017361087005225,-0.20421952402175314,0.21903042380409193,1.019815757998211
COVID Crash and Recovery,2020-02-19,2020-07-29,Minimum Variance,0.058555014189120236,0.10119782270255272,0.6127278510705066,-0.10536038112506341,0.5557593239874017,1.0258451687726025
COVID Crash and Recovery,2020-02-19,2020-07-29,Traditional MVO,0.1898748613142791,0.1696046227162379,1.109790418350962,-0.16246887888012684,1.168684505137584,1.0810747821398716
COVID Crash and Recovery,2020-02-19,2020-07-29,Proposed Strategy,0.01969059516835392,0.14616382543221568,0.20611653359588647,-0.15699806445201092,0.12541934983136482,1.0087820461386794
2022 Stock-Bond Drawdown,2022-03-08,2022-09-26,Equal Weight,-0.2511910327265048,0.13908590186306513,-2.009354766525655,-0.17197594495041402,-1.4606172555058845,0.85154211415847
2022 Stock-Bond Drawdown,2022-03-08,2022-09-26,Minimum Variance,-0.19041800693349076,0.07966861666297644,-2.6107057557415585,-0.10848267772440712,-1.7552849074875787,0.8892703246409964
2022 Stock-Bond Drawdown,2022-03-08,2022-09-26,Traditional MVO,-0.26492280919122924,0.1507222433496476,-1.9656094403853868,-0.1795659527677863,-1.4753510067347007,0.8428310488175916
2022 Stock-Bond Drawdown,2022-03-08,2022-09-26,Proposed Strategy,-0.09828867712077283,0.0870961146870303,-1.1442521493298352,-0.06541733369690983,-1.5024867503185286,0.9441424245803041
Recent Period,2022-09-27,2026-01-30,Equal Weight,0.14277231618058628,0.097094165316725,1.4232265988841513,-0.0893998922481738,1.597007698669824,1.5594413214280225
Recent Period,2022-09-27,2026-01-30,Minimum Variance,0.07025724126790855,0.052047447141330944,1.3306873521444507,-0.037077674329796695,1.8948664536774302,1.2536517169995451
Recent Period,2022-09-27,2026-01-30,Traditional MVO,0.2046435532683173,0.12398260705263904,1.5641248373941485,-0.14948509425405976,1.3689896928486536,1.8586930230444854
Recent Period,2022-09-27,2026-01-30,Proposed Strategy,0.16663986879693793,0.10373991702340848,1.5380593950196129,-0.10499791650958612,1.587077861509033,1.6705408149755152
